NEIGHBORHOOD,total_crimes_UNIT,under_18_UNIT,over_18_UNIT,facility_count_UNIT,Total_Length_With_Steps_UNIT,Total_Steps_UNIT,Length_per_Step_UNIT,Zero_Steps_Total_Length_UNIT,park_count_UNIT,non_park_count_UNIT,tree_count_UNIT,TOTAL_STUDENTS_UNIT
MOUNT WASHINGTON,4758.305514877395,129.59072282138155,4628.714792056013,23.259873326914636,20003.49106114659,5230.148659509092,12.708698259940654,701.1190388541412,16.614195233510454,3.322839046702091,2904.1613268176275,1385.623882474772
NORTH OAKLAND,3421.376159188298,113.79299864262633,3307.583160545672,22.758599728525265,2215.170373576459,546.2063934846063,30.76625518856193,0.0,0.0,7.586199909508421,5879.304929869027,83.44819900459264
OAKWOOD,456.57901390569447,11.136073509894986,445.4429403957995,16.70411026484248,3908.7618019731403,807.3653294673866,26.95697794464235,0.0,5.568036754947493,0.0,512.2593814551694,417.602756621062
OVERBROOK,1491.2563043409575,90.37916996005802,1400.8771343808994,9.037916996005803,11758.33001180355,4595.7807924689505,11.56177975595236,0.0,0.0,0.0,1242.713586950798,1229.1567114567893
PERRY NORTH,1796.0804474650981,537.2623251547772,1258.818122310321,62.47236339009037,9748.812307023603,3601.53174943871,8.455171124912058,0.0,6.247236339009037,0.0,3145.4834966910503,1240.0764132932939
PERRY SOUTH,4402.196227073254,484.95229092164993,3917.2439361516035,12.54186959280129,28967.53813617338,8056.06090177603,15.032453625414314,882.1114946936908,8.361246395200862,0.0,1534.288713519358,1852.0160765369908
POINT BREEZE,1115.2403332017852,214.75911821791132,900.4812149838738,30.141630627075273,2912.435059341148,700.7929120795001,15.658253007210476,0.0,3.767703828384409,22.606222970306455,4958.298238153882,1194.3621135978576
POINT BREEZE NORTH,3686.6560350114582,90.54944647396565,3596.106588537493,12.93563521056652,323.390880264163,206.97016336906432,20.211930016510188,0.0,12.93563521056652,25.87127042113304,7321.5695291806505,1720.4394830053473
POLISH HILL,2451.436258010208,74.28594721243054,2377.1503107977774,59.42875776994444,38732.69287656128,16253.765250079803,35.40465528022055,0.0,14.85718944248611,14.85718944248611,4026.2983389137357,713.1450932393333
REGENT SQUARE,728.3487403326113,59.05530327021172,669.2934370623996,78.7404043602823,4232.2967343651735,688.9785381524702,120.92276383900497,0.0,0.0,19.685101090070575,8543.333873090629,944.8848523233876
SHADYSIDE,3947.8816878826237,151.999607129716,3795.8820807529078,36.972877409930916,246.48584939953946,205.4048744996162,4.929716987990789,0.0,0.0,0.0,6400.415889408041,891.4571553283344
SHERADEN,4330.10490914645,449.92496321599833,3880.1799459304516,23.68026122189465,14938.861936555253,3873.4141570099105,13.047040992624675,0.0,13.531577841082656,6.765788920541328,1326.0946284261004,2347.728755427841
SOUTH OAKLAND,2621.6170321668837,14.895551319130021,2606.721480847754,14.895551319130021,10896.09578994361,2688.6470131029687,30.183090830868725,0.0,22.343326978695032,14.895551319130021,1742.7795043382125,573.4787257865058
SOUTH SIDE FLATS,13985.965876495342,222.57758194654045,13763.388294548802,20.23432563150368,222.57758194654045,226.6244470728412,3.9745996776167942,0.0,12.140595378902207,12.140595378902207,6851.342658827146,453.2488941456824
SOUTH SIDE SLOPES,4223.079987771985,79.281852085832,4143.798135686152,58.14002486294346,72875.87843729676,25227.485333711742,15.268359194908184,4963.043940573083,31.7127408343328,5.285456805722133,1231.511435733257,961.9531386414283
SPRING HILL-CITY VIEW,4260.653185546543,270.4222755283419,3990.2309100182006,36.05630340377892,12986.278609261042,6075.487123536748,12.844983787597469,0.0,18.02815170188946,0.0,685.0697646717995,1436.242752250527
